Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2019-06-21,2019,6,21,Friday,24,2019-24,294.13,295.52,293.76,294.0,83309500,280.03,-0.001453721828222454,274.01714285714286,272.7086
2019-06-24,2019,6,24,Monday,25,2019-25,294.23,294.58,293.47,293.64,47582700,279.69,-0.001224259785441717,275.00142857142856,272.8386
2019-06-25,2019,6,25,Tuesday,25,2019-25,293.7,293.73,290.64,290.76,82028700,276.95,-0.009808047487142035,275.6257142857143,272.8768
2019-06-26,2019,6,26,Wednesday,25,2019-25,291.75,292.31,290.35,290.47,51584900,276.67,-0.0009975721300407026,276.105,272.913
2019-06-27,2019,6,27,Thursday,25,2019-25,291.31,292.06,290.89,291.5,40355200,277.65,0.0035461141542336705,276.4614285714286,272.9652
2019-06-28,2019,6,28,Friday,25,2019-25,292.58,293.55,292.01,293.0,59350900,279.08,0.005145673357676017,276.8307142857143,273.0594
2019-07-01,2019,7,1,Monday,26,2019-26,296.68,296.92,294.33,295.66,78705600,281.62,0.009078676799040286,277.3864285714286,273.19359999999995
2019-07-02,2019,7,2,Tuesday,26,2019-26,295.61,296.49,294.68,296.43,61504500,282.35,0.002604256689635598,278.0285714285714,273.3378
2019-07-03,2019,7,3,Wednesday,26,2019-26,297.18,298.82,297.02,298.8,40898900,284.61,0.007995027237891472,278.75142857142856,273.4776
2019-07-05,2019,7,5,Friday,26,2019-26,297.44,298.64,296.01,298.46,51677300,284.28,-0.0011376831431278989,279.47214285714284,273.62320000000005
2019-07-08,2019,7,8,Monday,27,2019-27,297.01,298.26,296.22,296.82,45841800,282.72,-0.005495009801552486,280.07428571428574,273.74100000000004
2019-07-09,2019,7,9,Tuesday,27,2019-27,295.54,297.52,295.48,297.19,41101300,283.07,0.0012465224904587568,280.49642857142857,273.84
2019-07-10,2019,7,10,Wednesday,27,2019-27,298.37,299.66,297.78,298.61,58448500,284.43,0.004778173039055478,280.9707142857143,273.9574
2019-07-11,2019,7,11,Thursday,27,2019-27,299.32,299.58,298.2,299.31,50826100,285.09,0.002344302740266535,281.30285714285714,274.0852
2019-07-12,2019,7,12,Friday,27,2019-27,299.85,300.73,299.51,300.65,40326000,286.37,0.004476716758951671,281.7557142857143,274.2806
2019-07-15,2019,7,15,Monday,28,2019-28,301.13,301.13,300.19,300.75,33900000,286.46,0.00033270415801345266,282.23928571428576,274.4896
2019-07-16,2019,7,16,Tuesday,28,2019-28,300.65,300.88,299.44,299.78,36650100,285.54,-0.0032252621064781106,282.85285714285715,274.6262
2019-07-17,2019,7,17,Wednesday,28,2019-28,299.75,299.93,297.74,297.74,36036300,283.6,-0.00680517271360126,283.34785714285715,274.747
2019-07-18,2019,7,18,Thursday,28,2019-28,297.19,299.25,296.7,298.83,51392600,284.63,0.003661080099336189,283.8464285714286,274.981
2019-07-19,2019,7,19,Friday,28,2019-28,300.04,300.07,296.98,297.17,58678600,283.05,-0.00555478836073009,284.13,275.191
2019-07-22,2019,7,22,Monday,29,2019-29,297.61,298.5,297.04,297.9,43638100,283.75,0.002456469736872968,284.28214285714284,275.4316
2019-07-23,2019,7,23,Tuesday,29,2019-29,299.14,300.03,298.22,300.03,44564500,285.78,0.007149907134774702,284.52714285714285,275.6854
2019-07-24,2019,7,24,Wednesday,29,2019-29,299.19,301.44,299.09,301.44,47213200,287.12,0.004699519305212618,284.70642857142855,276.1034
2019-07-25,2019,7,25,Thursday,29,2019-29,300.94,301.0,299.11,300.0,55394100,285.75,-0.0047770230124878355,284.81142857142856,276.44579999999996
2019-07-26,2019,7,26,Friday,29,2019-29,300.76,302.23,300.62,302.01,45084100,287.66,0.006700004891372124,285.1642857142857,276.795
2019-07-29,2019,7,29,Monday,30,2019-30,301.88,302.01,300.85,301.46,38126500,287.14,-0.001821208018831899,285.45500000000004,277.0836
2019-07-30,2019,7,30,Tuesday,30,2019-30,299.91,301.17,299.49,300.72,45849000,286.43,-0.002454566343649489,285.59785714285715,277.39340000000004
2019-07-31,2019,7,31,Wednesday,30,2019-30,300.99,301.2,295.2,297.43,104245200,283.3,-0.010940560941471889,285.47,277.6764
2019-08-01,2019,8,1,Thursday,30,2019-30,297.6,300.87,293.96,294.84,142646600,280.83,-0.008708085089514261,285.07428571428574,277.8614
2019-08-02,2019,8,2,Friday,30,2019-30,293.85,294.12,290.9,292.62,116749700,278.72,-0.00752914492816148,284.52142857142854,278.02099999999996
2019-08-05,2019,8,5,Monday,31,2019-31,288.09,288.21,281.72,283.82,178745400,270.34,-0.030073183360675326,283.43571428571425,278.07899999999995
2019-08-06,2019,8,6,Tuesday,31,2019-31,285.91,288.04,284.28,287.8,120711700,274.13,0.01402303298576979,282.75928571428574,278.2008
2019-08-07,2019,8,7,Wednesday,31,2019-31,284.4,288.82,282.04,287.97,140572300,274.29,0.0005902491113978225,282.0207142857143,278.3756
2019-08-08,2019,8,8,Thursday,31,2019-31,289.62,293.62,289.01,293.62,87713900,279.67,0.019620491880796065,281.7792857142857,278.6936
2019-08-09,2019,8,9,Friday,31,2019-31,292.58,293.24,289.65,291.62,93730000,277.77,-0.006811869277930538,281.3521428571429,278.9592
2019-08-12,2019,8,12,Monday,32,2019-32,289.96,291.61,287.02,288.07,65527600,274.39,-0.01217288047997156,280.5385714285714,279.22860000000003
2019-08-13,2019,8,13,Tuesday,32,2019-32,287.74,294.15,287.36,292.55,94299800,278.65,0.015551420096993951,279.93357142857144,279.5964
2019-08-14,2019,8,14,Wednesday,32,2019-32,288.07,288.74,283.76,283.9,135622100,270.41,-0.02956762203068697,278.83785714285716,279.6864
2019-08-15,2019,8,15,Thursday,32,2019-32,284.88,285.64,282.39,284.65,99556600,271.13,0.002642050414398245,277.6571428571429,279.7448
2019-08-16,2019,8,16,Friday,32,2019-32,286.48,289.33,284.71,288.85,83018300,275.13,0.014754964132362547,276.7992857142857,279.8482
2019-08-19,2019,8,19,Monday,33,2019-33,292.19,293.08,291.44,292.33,53571800,278.44,0.012047691621688283,276.2285714285714,279.9638
2019-08-20,2019,8,20,Tuesday,33,2019-33,291.77,292.36,289.95,290.09,51596400,276.31,-0.007662728167965205,275.7292857142857,280.0118
2019-08-21,2019,8,21,Wednesday,33,2019-33,292.48,292.86,291.72,292.45,49524700,278.56,0.00813552283380381,275.56714285714287,280.1062
2019-08-22,2019,8,22,Thursday,33,2019-33,293.23,293.93,290.4,292.36,51666400,278.47,-0.00030796097189023097,275.5492857142857,280.2084
2019-08-23,2019,8,23,Friday,33,2019-33,290.92,292.76,283.47,284.85,149161500,271.32,-0.025687429732638045,275.6192857142857,280.145
2019-08-26,2019,8,26,Monday,34,2019-34,287.27,288.0,285.58,288.0,72423800,274.32,0.011058343602638798,275.6328571428571,280.1476
2019-08-27,2019,8,27,Tuesday,34,2019-34,289.54,289.95,286.03,286.87,66668900,273.24,-0.003923400082791129,275.55785714285713,280.1266
2019-08-28,2019,8,28,Wednesday,34,2019-34,286.14,289.07,285.25,288.89,59696700,275.17,0.007041286094339405,275.2364285714286,280.0868
2019-08-29,2019,8,29,Thursday,34,2019-34,291.72,293.16,290.61,292.58,57899400,278.68,0.012773237111504132,275.3014285714286,280.1046
2019-08-30,2019,8,30,Friday,34,2019-34,294.22,294.24,291.42,292.45,62901200,278.56,-0.00044426986596457496,275.5992857142857,280.067
2019-09-03,2019,9,3,Tuesday,35,2019-35,290.57,291.58,289.27,290.74,69101400,276.93,-0.005847095350676734,275.4764285714286,280.005
2019-09-04,2019,9,4,Wednesday,35,2019-35,293.14,294.06,292.31,294.04,46887300,280.07,0.011350381055118763,276.1664285714286,280.0126
2019-09-05,2019,9,5,Thursday,35,2019-35,296.79,298.83,294.0,297.82,83258100,283.67,0.012855265109196878,277.0621428571429,280.147
2019-09-06,2019,9,6,Friday,35,2019-35,298.17,298.76,297.42,298.05,49584300,283.89,0.000772211156396363,277.6878571428571,280.2914
2019-09-09,2019,9,9,Monday,36,2019-36,299.14,299.24,297.16,298.2,51260300,284.03,0.0005034096517271269,278.08714285714285,280.419
