Item,Sku Name,Sku Size,Style,Order Number,Price,Price Currency,Final Payout Amount,Final Payout Currency,Payout Method,Sale Date,Status,Seller Tracking Number,Payout ID
Jordan 12 Retro Low Golf Taxi,Taxi,11.5,DH4120-100,40396522-40296281,223,USD,197.36,USD,ACH,2022-08-08 18:37:46 +00,Delivered,1Z45072V9006836754,""
Jordan 1 Mid Coconut Milk (Women's),Coconut Milk (Women's),9W,BQ6472-121,40416981-40316740,144,USD,127.44,USD,ACH,2022-08-09 02:49:04 +00,Delivered,1Z45072V9006836754,""
Fear of God Essentials 3D Silicon Applique Pullover Hoodie Oatmeal Heather,Essentials 3D Silicon Applique,S,N/A,40355759-40255518,154,USD,136.29,USD,ACH,2022-08-07 19:18:15 +00,Delivered,1Z527Y0Y9040081760,""
Nike Dunk High Panda Black White (2021),Panda Black White (2021),10,DD1399-105,40289395-40189154,137,USD,121.25,USD,ACH,2022-08-05 22:34:07 +00,Delivered,1Z45072V9039191111,""
Jordan 1 Retro High Element Gore-Tex Light Bone,Gore-Tex Light Bone,9,DB2889-100,40299416-40199175,186,USD,164.61,USD,ACH,2022-08-06 03:00:18 +00,Delivered,1Z45072V9039191111,""
Jordan 12 Retro Low Golf Taxi,Taxi,10.5,DH4120-100,40292037-40191796,233,USD,206.21,USD,ACH,2022-08-05 23:48:06 +00,Delivered,1Z45072V9039191111,""
Nike LD Waffle SF sacai Fragment Grey,sacai Fragment Grey,12,DH2684-001,40373810-40273569,370,USD,327.45,USD,ACH,2022-08-08 03:11:12 +00,Delivered,1Z45072V9011880599,""
Jordan 1 Mid SE Brown Basalt Oatmeal (Women's),Brown Basalt Oatmeal (Women's),9W,DO6699-200,40290123-40189882,214,USD,189.39,USD,ACH,2022-08-05 22:54:54 +00,Delivered,1Z45072V9039191111,""
Jordan 6 Retro UNC White (GS),UNC White (GS),5Y,384665-410,40298489-40198248,133,USD,117.71,USD,ACH,2022-08-06 02:32:52 +00,Delivered,1Z45072V9039191111,""
Jordan 1 Low Coconut Milk (Women's),Coconut Milk (Women's),8W,DC0774-121,40295959-40195718,140,USD,123.9,USD,ACH,2022-08-06 01:18:15 +00,Delivered,1Z45072V9039191111,""
adidas Yeezy Slide Onyx (Kids),Onyx (Kids),12K,HQ4115,40329337-40229096,64,USD,53.08,USD,ACH,2022-08-06 23:21:08 +00,Delivered,1Z45072V9011880599,""
adidas Yeezy Boost 700 V2 Static (2018/2022/2023),Static (2018/2022/2023),9.5,EF2829,40302791-40202550,281,USD,248.69,USD,ACH,2022-08-06 04:51:49 +00,Delivered,1Z45072V9028752026,""
Nike Dunk Low Retro White Black Panda (Women's),White Black Panda (Women's),11W,DD1503-101,40373329-40273088,202,USD,178.77,USD,ACH,2022-08-08 02:58:04 +00,Delivered,1Z45072V9011880599,""
Jordan 5 Retro Bluebird (Women's),Bluebird (Women's),9.5W,DD9336-400,40343842-40243601,222,USD,196.47,USD,ACH,2022-08-07 11:16:47 +00,Delivered,1Z45072V9011880599,""
Nike Air Huarache Triple Red,Triple Red,11,318429-660,40298702-40198461,74,USD,62.78,USD,ACH,2022-08-06 02:39:15 +00,Delivered,1Z45072V9039191111,""
Nike Air Max 270 White Midnight Navy,White Midnight Navy,10,DH0613-100,40298418-40198177,146,USD,129.21,USD,ACH,2022-08-06 02:30:24 +00,Delivered,1Z45072V9039191111,""
Jordan 1 Low OG Bleached Coral,Bleached Coral,9,CZ0790-061,40300191-40199950,150,USD,132.75,USD,ACH,2022-08-06 03:24:11 +00,Delivered,1Z45072V9039191111,""
Nike Air Huarache White Pure Platinum (2021),White Pure Platinum (2021),11.5,DD1068-102,40357815-40257574,101,USD,88.97,USD,ACH,2022-08-07 20:15:05 +00,Delivered,1Z45072V9011880599,""
Nike Dunk Low SE Barber Shop Grey,Barber Shop Grey,12,DH7614-500,40319048-40218807,170,USD,150.45,USD,ACH,2022-08-06 18:23:57 +00,Delivered,1Z45072V9028752026,""
New Balance 550 White Grey,White Grey,5,BB550PB/BB550PB1,40300708-40200467,138,USD,122.13,USD,ACH,2022-08-06 03:42:31 +00,Delivered,1Z45072V9028752026,""
adidas Yeezy Boost 700 MNVN Bright Cyan (Kids),Bright Cyan (Kids),3Y,GZ3080,40299980-40199739,199,USD,176.12,USD,ACH,2022-08-06 03:17:54 +00,Delivered,1Z45072V9039191111,""
Jordan 1 Retro High Silver Toe (PS),Silver Toe (PS),3,CU0449-001,40295868-40195627,90,USD,78.3,USD,ACH,2022-08-06 01:15:57 +00,Delivered,1Z45072V9039191111,""
Jordan 1 Low Washed Denim (GS),Washed Denim (GS),7Y,DM8947-100,40251375-40151134,105,USD,92.85,USD,ACH,2022-08-05 01:25:47 +00,Delivered,1Z45072V9039191111,""
Nike Air Max 90 First Use Cream,First Use Cream,13,DB0636-100,40328721-40228480,270,USD,238.95,USD,ACH,2022-08-06 23:02:56 +00,Delivered,1Z45072V9011880599,""
Nike Air Force 1 Low Psychic Blue,Psychic Blue,11.5,CZ0337-400,40376867-40276626,200,USD,177,USD,ACH,2022-08-08 05:03:29 +00,Delivered,1Z45072V9011880599,""
Nike SB Dunk High New York Mets,New York Mets,10.5,DH7155-001,40311585-40211344,155,USD,137.18,USD,ACH,2022-08-06 14:41:42 +00,Delivered,1Z45072V9028752026,""
Nike Dunk Low Retro White Black Panda (TD),White Black Panda (TD),2C,CW1589-100,40314731-40214490,76,USD,64.72,USD,ACH,2022-08-06 16:22:01 +00,Delivered,1Z45072V9028752026,""
New Balance 550 White Grey,White Grey,6.5,BB550PB/BB550PB1,40301284-40201043,151,USD,133.64,USD,ACH,2022-08-06 04:03:57 +00,Delivered,1Z45072V9028752026,""
New Balance 550 White Grey,White Grey,6.5,BB550PB/BB550PB1,40325731-40225490,151,USD,133.64,USD,ACH,2022-08-06 21:35:26 +00,Delivered,1Z45072V9011880599,""
Nike Dunk Low Black White (2022),Black White (2022),9.5,DJ6188-002,40317616-40217375,141,USD,124.79,USD,ACH,2022-08-06 17:45:41 +00,Delivered,1Z45072V9028752026,""
Jordan 1 Low SE True Blue,True Blue,9,DM1199-140,40320337-40220096,113,USD,100.01,USD,ACH,2022-08-06 19:00:45 +00,Delivered,1Z45072V9028752026,""
Jordan 1 Mid Coconut Milk (Women's),Coconut Milk (Women's),9W,BQ6472-121,40311008-40210767,135,USD,119.48,USD,ACH,2022-08-06 14:20:16 +00,Delivered,1Z45072V9028752026,""
Nike Dunk High Panda Black White (2021),Panda Black White (2021),9.5,DD1399-105,40320623-40220382,135,USD,119.48,USD,ACH,2022-08-06 19:08:24 +00,Delivered,1Z45072V9028752026,""
Jordan 1 Mid Tropical Twist Igloo (GS),Tropical Twist Igloo (GS),5.5Y,554725-132,40322463-40222222,110,USD,97.35,USD,ACH,2022-08-06 19:59:55 +00,Delivered,1Z45072V9028752026,""
Jordan 1 Low UNC (2021),UNC (2021),9,553558-144,40320442-40220201,210,USD,185.85,USD,ACH,2022-08-06 19:03:25 +00,Delivered,1Z45072V9028752026,""
New Balance 550 White Grey,White Grey,5,BB550PB/BB550PB1,40327896-40227655,138,USD,122.13,USD,ACH,2022-08-06 22:36:38 +00,Delivered,1Z45072V9011880599,""
