,Breed,Classification,obey,reps_lower,reps_upper,Country of Origin,Fur Color,Height,Color of Eyes,Longevity (yrs),bladder stones,cancer,ear infections,eye issues,elbow dysplasia,eye problems,dental problems,respiratory issues,heart conditions,diabetes,hip dysplasia,pancreatitis,intervertebral disc disease,obesity,epilepsy,hereditary myopathy,breathing problems,skin allergies,kind,intelligent,strong,gentle,athletic,charming,calm,brave,curious,trainable,independent,good-natured,hypoallergenic,energetic,playful,affectionate,active,social,loyal,confident,patient,sensitive,friendly,protective
67,japanese chin,Below Average,30,41,80,Japan,"Black, Red",9.0,Brown,13.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
68,old english sheepdog,Below Average,30,41,80,England,"Blue, Grey",24.0,Brown,11.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
69,great pyrenees,Below Average,30,41,80,France,White,28.5,Brown,11.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
70,saint bernard,Below Average,30,41,80,Switzerland,"Red, White",28.0,Brown,9.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
71,bull terrier,Below Average,30,41,80,England,"White, Red",21.0,Brown,11.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
72,chihuahua,Below Average,30,41,80,Mexico,"Black, Brown, Tan, White",7.5,"Brown, Blue",16.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0
73,lhasa apso,Below Average,30,41,80,Tibet,"Black, White",10.5,Brown,13.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
74,shih tzu,Below Average,30,81,100,China,"Black, White, Brown",9.5,Brown,13.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
75,basset hound,Below Average,30,81,100,France,"Black, Tan",13.0,Brown,11.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
76,mastiff,Below Average,30,81,100,England,"Apricot, Fawn",32.0,Brown,9.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
77,beagle,Below Average,30,81,100,England,"White, Tan, Red, Lemon",14.0,Brown,13.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
78,pekingese,Below Average,30,81,100,China,"Black, White, Red",7.5,Brown,13.5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
79,bloodhound,Below Average,30,81,100,England,"Red, Black",24.5,Brown,11.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
80,borzoi,Below Average,30,81,100,Russia,"White, Cream, Red",27.5,Brown,11.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
81,bulldog,Below Average,30,81,100,England,"White, Red",14.0,Brown,9.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82,basenji,Below Average,30,81,100,Congo,"Red, Black & White",16.5,Brown,13.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
